,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,5,5,pensais,thought
5,6,6,aide,help
6,8,8,genre,kind
7,9,9,mois,month
8,10,10,frère,brother
9,11,11,laisser,let
10,13,13,mettre,to put
11,15,15,laisse,leash
12,16,16,eux,them
13,18,18,chaque,each
14,21,21,devrait,should
15,23,23,longtemps,long time
16,25,25,vont,will
17,26,26,pendant,while
18,27,27,aucune,any
19,29,29,parle,speak
20,30,30,compris,understood
21,31,31,savais,knew
22,33,33,attention,Warning
23,34,34,voici,here is
24,36,36,affaire,case
25,37,37,donner,give
26,38,38,type,type
27,39,39,leurs,their
28,40,40,donné,given
29,43,43,endroit,place
30,44,44,yeux,eyes
31,46,46,dont,whose
32,47,47,trouve,find
33,48,48,premier,first
34,49,49,perdu,lost
35,50,50,main,hand
36,52,52,côté,side
37,53,53,vieux,old
38,55,55,matin,morning
39,57,57,enfant,child
40,58,58,point,point
41,59,59,venu,came
42,61,61,pardon,sorry
43,62,62,venez,come
44,64,64,vers,towards
45,65,65,demandé,request
46,67,67,mis,placed
47,68,68,belle,beautiful
48,69,69,droit,law
49,70,70,aimerais,would like to
50,71,71,aujourd'hui,today
51,73,74,enfin,finally
52,74,75,espère,hope
53,75,76,attendez,Wait
54,77,78,nouvelle,new
55,78,79,boulot,job
56,79,80,arrêter,Stop
57,81,82,compte,account
58,82,85,fin,end
59,83,86,croire,believe
60,84,88,gros,large
61,86,90,aura,will have
62,87,91,filles,girls
63,89,93,bureau,office
